Longitude,Latitude,Value,bio13,bio14,bio15,bio18,bio19,bio2,bio3,bio4,bio8,bio9
2.062320854,0,14.55879672,293.123714,100.9022008,37.97902383,510.3065503,602.0250033,9.247276106,83.91634981,54.64396782,24.77064721,25.02331685
102.1316035,72.431161,1.571428571,36.3015873,9.53968254,45.14164025,95.20634921,33.82539683,7.613095208,14.69505858,1656.728012,6.484920653,-31.28650808
105.4290458,72.422178,1.476923077,36.66153846,9.707692308,44.69204548,96.21538462,34.50769231,7.637435825,14.71836163,1659.340349,6.724358969,-31.05871805
95.25348306,72.413195,1.430769231,36.36923077,9.6,44.6235976,95.24615385,33.86153846,7.608974347,14.85108503,1638.606412,6.504358968,-30.93256416
101.7495234,72.404212,1.358974359,37.44871795,9.628205128,45.68243413,97.64102564,35.37179487,7.572649454,14.7185106,1647.792617,6.537393109,-30.3581196
108.227833,72.395229,1.221238938,37.18584071,9.743362832,45.19448248,97.69911504,36.32743363,7.616666629,14.73187857,1657.258023,6.573893788,-30.32094388
108.2729281,72.386246,1.135338346,37.35338346,9.676691729,45.41553061,98.30827068,36.27819549,7.547368448,14.68480702,1651.155983,6.72593984,-30.11779461
96.89135971,72.377262,1.087301587,36.98412698,9.341269841,46.036397,96.30952381,33.96031746,7.544378296,14.77933551,1637.429298,6.435978801,-30.59457682
105.0219185,72.368279,1.067567568,37.04054054,9.601351351,45.71458128,97.35135135,33.7027027,7.629222983,14.73843447,1657.687234,6.80123872,-31.27297319
108.0169891,72.359296,1.194968553,37.77358491,9.685534591,45.62464962,99.03773585,36.11949686,7.5541929,14.66408962,1653.950233,6.763312364,-30.37641514
106.5283189,72.350313,1.193069307,36.85148515,9.475247525,45.94079973,96.7970297,33.44059406,7.612252436,14.71000593,1659.2815,6.771369616,-31.3462872
106.5271627,72.34133,1.108910891,36.96534653,9.341584158,46.53738687,97.06930693,32.94059406,7.675907508,14.73252871,1667.061047,6.78985149,-31.46625422
105.2846803,72.332347,1.277456647,37.32947977,9.375722543,46.17955116,97.77456647,33.56647399,7.724180982,14.75222762,1671.926416,6.875529868,-31.43053962
105.3545606,72.323364,1.22459893,37.43850267,9.454545455,46.02717904,97.9144385,33.82352941,7.752138865,14.77352894,1673.849108,6.80499111,-31.43752246
103.9581848,72.31438,1.187165775,37.24064171,9.379679144,46.30768536,97.67914439,33.19786096,7.774554235,14.80193006,1674.397757,6.895454539,-31.56247773
104.9413446,72.305397,1.221590909,37.125,9.664772727,44.93721908,97.13068182,34.02840909,7.847632427,14.84854957,1680.587234,6.783712165,-31.58570067
101.9411151,72.296414,1.183962264,36.96226415,9.669811321,45.26849151,96.46698113,33.78301887,7.849606863,14.86687725,1679.302134,6.781682417,-31.52633658
102.485992,72.287431,1.341708543,37.38693467,9.633165829,45.78168683,97.77889447,33.8040201,7.860092084,14.87866773,1679.881567,6.725711906,-31.5708543
104.8336035,72.278448,1.518691589,37.3271028,9.714953271,45.46010588,97.60747664,34.09813084,7.872235209,14.86654528,1683.501397,6.881931474,-31.50467283
105.0667853,72.269465,1.426540284,37.47867299,9.786729858,45.4425314,97.87203791,34.52132701,7.9033965,14.90107424,1685.2823,6.803317517,-31.40213264
104.4930704,72.260481,1.548076923,37.59134615,9.730769231,45.57201408,98.04807692,34.26923077,7.908934247,14.89704091,1686.22153,6.822115373,-31.38838124
103.4897238,72.251498,1.5,37.74817518,9.802919708,45.39116468,98.46715328,34.49270073,7.906052227,14.90511597,1683.857006,6.798540114,-31.39689755
104.5386491,72.242515,1.432432432,37.98986486,9.831081081,45.11304286,98.84459459,35.12837838,7.912471784,14.91893531,1683.615622,6.820664401,-31.24403127
104.5515395,72.233532,1.534482759,37.8137931,9.772413793,45.20075273,98.40344828,34.51034483,7.939080396,14.92786865,1686.900991,6.861149411,-31.4724136
104.5011279,72.224549,1.401234568,38.02777778,9.814814815,45.31591604,99.27160494,34.7345679,7.937242736,14.95342968,1683.263819,6.851440312,-31.35617267
104.3024105,72.215566,1.421052632,38.14736842,9.880701754,45.04306278,99.45263158,35.14736842,7.938128563,14.95522366,1682.71397,6.885789455,-31.23801167
102.8694519,72.206583,1.365131579,38.03289474,9.740131579,45.52602679,99.10197368,34.45065789,7.936101918,14.9466929,1682.436604,6.863760952,-31.36359644
99.51170954,72.197599,1.374592834,37.81107492,9.671009772,45.46231456,98.29641694,34.24429967,7.930293075,14.93743938,1681.804229,6.799891431,-31.36959826
101.4084611,72.188616,1.345637584,37.95302013,9.909395973,44.87934836,98.62751678,35.14765101,7.988310826,14.98835861,1686.185863,6.866219235,-31.30151004
98.29883729,72.179633,1.298932384,37.75800712,9.797153025,45.05549375,97.71174377,34.6797153,7.974881291,14.97434946,1685.17992,6.856998823,-31.29887305
103.1467091,72.17065,1.351449275,38.21376812,10.02536232,44.62287201,99.09057971,35.37681159,8.006884015,15.00132218,1687.345892,6.959420318,-31.25670291
104.0875683,72.161667,1.331950207,38.33195021,10.05809129,44.64167287,99.41078838,35.58506224,8.03364452,15.02478972,1689.894948,6.98928079,-31.25933613
103.2996879,72.152684,1.354477612,38.35820896,9.932835821,45.01481147,99.60074627,35.27985075,8.022108206,15.02146223,1687.902715,6.975497528,-31.22699016
102.8163829,72.1437,1.56884058,38.27173913,9.855072464,45.26872695,99.53623188,34.93115942,7.974667818,14.94869253,1687.106121,6.930434813,-31.3046497
98.48842133,72.134717,1.495726496,38.03703704,9.88034188,45.17738966,98.42165242,34.87464387,7.961775881,14.95237907,1683.874399,6.862345705,-31.33338082
96.74477909,72.125734,1.539772727,37.90625,9.715909091,45.46646362,97.98863636,34.57102273,7.950710214,14.94232167,1682.70035,6.894460232,-31.32443184
94.68522631,72.116751,1.709969789,37.91540785,9.679758308,45.67214988,97.71601208,34.64954683,7.990206405,15.00688792,1682.771108,6.912537768,-31.27849941
94.44405074,72.107768,1.706060606,37.93333333,9.733333333,45.83036431,98.07878788,34.64848485,8.00944436,15.03558104,1683.526807,6.893585837,-31.3076767
97.49508955,72.098785,1.683510638,38.11968085,9.901595745,45.59777963,98.75265957,35.14361702,8.040358971,15.06863867,1685.10704,6.988164879,-31.19175526
100.1981874,72.089802,1.647058824,38.04481793,9.879551821,45.9020967,99.00560224,35.1092437,8.07301583,15.09860855,1689.579929,6.936928119,-31.00915028
100.1440013,72.080818,1.590504451,37.97626113,9.839762611,45.77025591,98.70919881,35.08011869,8.078758605,15.0779822,1692.342309,6.989366978,-31.17774468
99.2954006,72.071835,1.594029851,37.90447761,9.749253731,45.75370289,98.28358209,34.86865672,8.087586986,15.08468051,1692.430429,6.955572142,-31.16099487
103.9671338,72.062852,1.52887538,38.39209726,9.94224924,45.2535958,99.76899696,35.46200608,8.119807414,15.11530832,1694.885606,7.065957424,-31.17259348
105.568886,72.053869,1.483965015,38.43440233,10.06997085,45.02734134,100.122449,35.80174927,8.137876508,15.12620891,1697.748912,7.022546147,-31.0959668
106.8433868,72.044886,1.516949153,38.58474576,10.23446328,45.22256612,100.6779661,35.98022599,8.146610075,15.13225029,1699.428343,7.032109221,-31.3529661
106.2660402,72.035903,1.582010582,38.65079365,10.14814815,45.18708079,100.9074074,35.85185185,8.112279493,15.08122532,1697.83013,7.032495568,-31.37658723
106.6764372,72.026919,1.577294686,38.66425121,10.10869565,45.49539503,101.0555556,35.86231884,8.103260807,15.07125159,1697.805418,6.965780968,-31.09315628
105.3967297,72.017936,1.453271028,38.47663551,9.948598131,46.04038128,100.6051402,35.49065421,8.09589168,15.0620742,1696.840593,6.97172895,-31.13138627
102.7621723,72.008953,1.384615385,38.71634615,9.920673077,45.79143044,101.0817308,35.51923077,8.037159402,15.09231677,1681.916137,6.930488742,-30.85
105.4907316,71.99997,1.363207547,38.8490566,9.818396226,46.33206515,101.4716981,35.26179245,8.08050305,15.05530374,1694.447291,6.954834885,-31.10129718
